date,price
2025-02-03,29.79
2025-02-04,30.39
2025-02-05,30.65
2025-02-06,30.62
2025-02-07,30.5
2025-02-10,31.05
2025-02-11,30.82
2025-02-12,30.85
2025-02-13,31.3
2025-02-14,31.3
2025-02-18,31.51
2025-02-19,31.21
2025-02-20,30.63
2025-02-21,29.67
2025-02-24,29.0
2025-02-25,28.47
2025-02-26,28.84
2025-02-27,27.85
2025-02-28,28.15
2025-03-03,27.1
2025-03-04,27.17
2025-03-05,27.71
2025-03-06,26.3
2025-03-07,26.356
2025-03-10,24.96
2025-03-11,25.35
2025-03-12,25.88
2025-03-13,25.02
2025-03-14,25.819
2025-03-17,25.997
2025-03-18,25.4
2025-03-19,25.896
2025-03-20,25.83
2025-03-21,26.015
2025-03-24,26.85
2025-03-25,27.0
2025-03-26,26.02
2025-03-27,25.82
2025-03-28,24.915
2025-03-31,24.53
2025-04-01,25.03
2025-04-02,25.41
2025-04-03,23.392
2025-04-04,22.11
2025-04-07,22.18
2025-04-08,21.59
2025-04-09,24.17
2025-04-10,23.5
2025-04-11,23.97
2025-04-14,23.93
2025-04-15,23.945
2025-04-16,23.46
2025-04-17,23.212
2025-04-21,22.62
2025-04-22,22.895
2025-04-23,24.1
2025-04-24,25.14
2025-04-25,25.493
2025-04-28,25.593
2025-04-29,25.75
2025-04-30,25.64
2025-05-01,25.97
2025-05-02,26.743
2025-05-05,26.72
2025-05-06,26.39
2025-05-07,26.35
2025-05-08,27.1
2025-05-09,26.99
2025-05-12,28.405
2025-05-13,29.03
2025-05-14,29.47
2025-05-15,29.21
2025-05-16,29.305
2025-05-19,29.21
2025-05-20,29.19
2025-05-21,28.71
2025-05-22,28.83
2025-05-23,28.5
2025-05-27,29.27
2025-05-28,29.05
2025-05-29,28.72
2025-05-30,28.97
2025-06-02,29.34
2025-06-03,29.566
2025-06-04,29.8
2025-06-05,29.87
2025-06-06,30.32
2025-06-09,30.45
2025-06-10,30.475
2025-06-11,30.445
2025-06-12,30.48
2025-06-13,30.02
2025-06-16,30.55
2025-06-17,30.3
2025-06-18,30.315
2025-06-20,30.0
2025-06-23,30.24
2025-06-24,30.94
2025-06-25,30.78
2025-06-26,31.47
2025-06-27,31.65
2025-06-30,31.715
2025-07-01,31.02
2025-07-02,31.26
2025-07-03,31.54
2025-07-07,31.44
2025-07-08,31.28
2025-07-09,31.68
2025-07-10,31.38
2025-07-11,30.92
2025-07-14,31.55
2025-07-15,31.79
2025-07-16,31.771
2025-07-17,31.955
2025-07-18,32.12
2025-07-21,32.26
2025-07-22,31.975
2025-07-23,32.264
2025-07-24,32.28
2025-07-25,32.468
2025-07-28,32.735
2025-07-29,32.605
2025-07-30,32.416
2025-07-31,32.46
2025-08-01,31.39
2025-08-04,32.023
2025-08-05,31.953
2025-08-06,32.7
2025-08-07,32.817
2025-08-08,32.859
2025-08-11,32.658
2025-08-12,33.141
2025-08-13,32.99
2025-08-14,32.76
2025-08-15,32.87
2025-08-18,33.105
2025-08-19,32.255
2025-08-20,32.49
2025-08-21,32.381
2025-08-22,33.01
2025-08-25,32.955
2025-08-26,32.895
2025-08-27,33.368
2025-08-28,34.267
2025-08-29,33.611
2025-09-02,33.277
2025-09-03,33.682
2025-09-04,33.835
2025-09-05,34.195
2025-09-08,34.641
2025-09-09,35.226
2025-09-10,35.59
2025-09-11,35.785
2025-09-12,35.732
2025-09-15,36.3
2025-09-16,36.26
2025-09-17,36.28
2025-09-18,36.69
2025-09-19,37.43
2025-09-22,37.67
2025-09-23,36.83
2025-09-24,36.57
2025-09-25,36.193
2025-09-26,36.305
2025-09-29,36.685
2025-09-30,36.68
2025-10-01,36.99
2025-10-02,37.45
2025-10-03,37.26
2025-10-06,37.721
2025-10-07,37.29
2025-10-08,38.27
2025-10-09,38.56
2025-10-10,37.15
2025-10-13,38.02
2025-10-14,37.37
2025-10-15,37.682
2025-10-16,37.601
2025-10-17,37.49
2025-10-20,37.855
2025-10-21,37.838
2025-10-22,37.249
2025-10-23,37.825
2025-10-24,38.418
2025-10-27,39.225
2025-10-28,39.158
2025-10-29,39.43
2025-10-30,38.695
2025-10-31,39.435
2025-11-03,39.433
2025-11-04,38.03
2025-11-05,38.29
2025-11-06,37.204
2025-11-07,37.155
2025-11-10,38.068
2025-11-11,37.65
2025-11-12,37.15
2025-11-13,36.03
2025-11-14,36.026
2025-11-17,35.494
2025-11-18,35.17
2025-11-19,35.239
2025-11-20,34.094
2025-11-21,33.99
2025-11-24,35.068
2025-11-25,35.329
2025-11-26,35.603
2025-11-28,36.029
2025-12-01,35.955
2025-12-02,36.312
2025-12-03,36.366
2025-12-04,36.702
2025-12-05,37.145
2025-12-08,37.315
2025-12-09,37.395
2025-12-10,37.54
2025-12-11,37.32
2025-12-12,36.271
2025-12-15,35.75
2025-12-16,36.278
2025-12-17,35.555
2025-12-18,36.098
2025-12-19,36.722
2025-12-22,36.911
2025-12-23,36.808
2025-12-24,36.854
2025-12-26,36.834
2025-12-29,36.72
2025-12-30,36.659
2025-12-31,36.304
2026-01-02,36.246
2026-01-05,36.653
2026-01-06,36.925
2026-01-07,37.256
2026-01-08,37.03
2026-01-09,37.07
2026-01-12,37.3
2026-01-13,37.063
2026-01-14,36.369
2026-01-15,36.412
2026-01-16,36.37
2026-01-20,35.282
2026-01-21,35.571
2026-01-22,36.17
2026-01-23,36.3
2026-01-26,36.76
2026-01-27,36.99
2026-01-28,37.11
2026-01-29,36.25
2026-01-30,35.385
2026-02-02,35.34
2026-02-03,34.35
2026-02-04,33.318
2026-02-05,32.325
2026-02-06,33.99
2026-02-09,35.14
2026-02-10,35.04
2026-02-11,34.54
2026-02-12,33.985
2026-02-13,34.23
2026-02-17,34.15
2026-02-18,34.5
2026-02-19,34.56
2026-02-20,34.42
2026-02-23,33.53
2026-02-24,34.37
2026-02-25,35.19
2026-02-26,35.28
2026-02-27,34.38
2026-03-02,34.47
2026-03-03,33.62
2026-03-04,34.39
2026-03-05,34.455
2026-03-06,33.98
2026-03-09,34.535
2026-03-10,34.49
2026-03-11,34.78
2026-03-12,34.07
2026-03-13,33.89
2026-03-16,34.727
2026-03-17,34.85
2026-03-18,34.45
2026-03-19,34.425
2026-03-20,33.53
2026-03-23,34.343
2026-03-24,33.6
2026-03-25,33.879
2026-03-26,32.63
2026-03-27,31.83
2026-03-30,31.23
2026-03-31,32.77
2026-04-01,33.11
2026-04-02,33.5
2026-04-06,33.55
2026-04-07,33.86
2026-04-08,34.94
2026-04-09,34.67
2026-04-10,34.86
2026-04-13,35.9
2026-04-14,36.79
2026-04-15,37.42
2026-04-16,37.83
2026-04-17,38.32
2026-04-20,38.83
2026-04-21,38.72
2026-04-22,39.58
2026-04-23,38.8
2026-04-24,39.55
2026-04-27,39.61
2026-04-28,38.59
2026-04-29,38.75
2026-04-30,39.29
2026-05-01,40.43
2026-05-04,41.01
2026-05-05,41.61
2026-05-06,43.49
2026-05-07,43.14
2026-05-08,43.46
2026-05-11,43.86
2026-05-12,43.03
2026-05-13,43.78
2026-05-14,44.46
2026-05-15,43.6
2026-05-18,43.02
2026-05-19,42.7
2026-05-20,43.73
2026-05-21,44.67
2026-05-22,45.15
2026-05-26,46.12
2026-05-27,45.86
2026-05-28,47.24
2026-05-29,47.9
