date,price
2025-06-02,30.35
2025-06-03,30.39
2025-06-04,30.41
2025-06-05,30.29
2025-06-06,30.52
2025-06-09,30.63
2025-06-10,30.7
2025-06-11,30.76
2025-06-12,30.67
2025-06-13,30.55
2025-06-16,30.69
2025-06-17,30.6
2025-06-18,30.71
2025-06-20,30.68
2025-06-23,30.7
2025-06-24,30.86
2025-06-25,30.79
2025-06-26,30.88
2025-06-27,30.8
2025-06-30,31.66
2025-07-01,31.52
2025-07-02,31.68
2025-07-03,31.68
2025-07-07,31.58
2025-07-08,31.67
2025-07-09,31.8
2025-07-10,31.88
2025-07-11,31.78
2025-07-14,31.84
2025-07-15,31.76
2025-07-16,31.94
2025-07-17,32.05
2025-07-18,32.19
2025-07-21,32.1
2025-07-22,32.1
2025-07-23,32.17
2025-07-24,32.33
2025-07-25,32.37
2025-07-28,32.34
2025-07-29,32.33
2025-07-30,32.34
2025-07-31,33.62
2025-08-01,33.45
2025-08-04,33.62
2025-08-05,33.55
2025-08-06,33.57
2025-08-07,33.54
2025-08-08,33.54
2025-08-11,33.54
2025-08-12,34.13
2025-08-13,34.17
2025-08-14,34.15
2025-08-15,34.14
2025-08-18,34.13
2025-08-19,33.86
2025-08-20,33.83
2025-08-21,33.8
2025-08-22,34.84
2025-08-25,34.92
2025-08-26,34.95
2025-08-27,34.92
2025-08-28,34.93
2025-08-29,34.85
2025-09-02,35.87
2025-09-03,35.89
2025-09-04,35.86
2025-09-05,35.89
2025-09-08,35.98
2025-09-09,36.01
2025-09-10,35.93
2025-09-11,36.82
2025-09-12,36.87
2025-09-15,36.93
2025-09-16,39.78
2025-09-17,39.74
2025-09-18,40.03
2025-09-19,40.55
2025-09-22,40.49
2025-09-23,40.43
2025-09-24,40.93
2025-09-25,40.59
2025-09-26,40.56
2025-09-29,40.78
2025-09-30,41.9
2025-10-01,41.97
2025-10-02,42.47
2025-10-03,42.52
2025-10-06,42.86
2025-10-07,42.66
2025-10-08,43.09
2025-10-09,43.24
2025-10-10,42.7
2025-10-13,42.75
2025-10-14,42.72
2025-10-15,43.06
2025-10-16,42.7
2025-10-17,42.48
2025-10-20,43.13
2025-10-21,42.86
2025-10-22,42.41
2025-10-23,42.62
2025-10-24,42.79
2025-10-27,42.68
2025-10-28,42.54
2025-10-29,42.41
2025-10-30,42.1
2025-10-31,42.43
2025-11-03,42.15
2025-11-04,41.69
2025-11-05,41.94
2025-11-06,41.58
2025-11-07,41.56
2025-11-10,41.3
2025-11-11,41.23
2025-11-12,41.09
2025-11-13,40.42
2025-11-14,40.35
2025-11-17,40.24
2025-11-18,40.17
2025-11-19,39.93
2025-11-20,39.72
2025-11-21,40.03
2025-11-24,40.54
2025-11-25,40.59
2025-11-26,40.6
2025-11-28,40.7
2025-12-01,40.38
2025-12-02,40.33
2025-12-03,40.68
2025-12-04,40.92
2025-12-05,40.76
2025-12-08,40.9
2025-12-09,41.02
2025-12-10,41.16
2025-12-11,41.05
2025-12-12,40.88
2025-12-15,41.05
2025-12-16,45.72
2025-12-17,45.61
2025-12-18,45.63
2025-12-19,45.8
2025-12-22,46.02
2025-12-23,45.88
2025-12-24,45.94
2025-12-26,45.87
2025-12-29,45.87
2025-12-30,45.98
2025-12-31,46.16
2026-01-02,46.3
2026-01-05,46.31
2026-01-06,46.33
2026-01-07,46.32
2026-01-08,46.25
2026-01-09,46.11
2026-01-12,46.42
2026-01-13,46.4
2026-01-14,46.51
2026-01-15,46.35
2026-01-16,46.34
2026-01-20,46.31
2026-01-21,46.92
2026-01-22,47.21
2026-01-23,47.01
2026-01-26,46.98
2026-01-27,47.14
2026-01-28,47.16
2026-01-29,47.23
2026-01-30,47.04
2026-02-02,47.17
