date,price
2025-06-02,43.37
2025-06-03,42.87
2025-06-04,42.93
2025-06-05,37.5
2025-06-06,39.74
2025-06-09,42.75
2025-06-10,41.2
2025-06-11,40.77
2025-06-12,40.26
2025-06-13,39.42
2025-06-16,38.99
2025-06-17,37.99
2025-06-18,39.38
2025-06-20,37.0
2025-06-23,39.43
2025-06-24,40.5
2025-06-25,38.95
2025-06-26,39.09
2025-06-27,38.69
2025-06-30,38.09
2025-07-01,35.69
2025-07-02,37.17
2025-07-03,36.38
2025-07-07,35.29
2025-07-08,36.98
2025-07-09,39.35
2025-07-10,40.42
2025-07-11,39.14
2025-07-14,38.19
2025-07-15,38.61
2025-07-16,34.45
2025-07-17,33.41
2025-07-18,31.81
2025-07-21,33.22
2025-07-22,32.0
2025-07-23,32.3
2025-07-24,32.2
2025-07-25,32.88
2025-07-28,32.15
2025-07-29,30.73
2025-07-30,30.4
2025-07-31,29.7
2025-08-01,28.47
2025-08-04,30.25
2025-08-05,30.29
2025-08-06,30.75
2025-08-07,31.0
2025-08-08,30.58
2025-08-11,28.59
2025-08-12,29.11
2025-08-13,29.06
2025-08-14,28.26
2025-08-15,28.53
2025-08-18,29.08
2025-08-19,27.03
2025-08-20,26.96
2025-08-21,27.35
2025-08-22,28.45
2025-08-25,28.78
2025-08-26,28.08
2025-08-27,28.34
2025-08-28,28.33
2025-08-29,27.36
2025-09-02,27.08
2025-09-03,26.94
2025-09-04,26.45
2025-09-05,25.82
2025-09-08,25.68
2025-09-09,26.34
2025-09-10,26.37
2025-09-11,26.51
2025-09-12,26.1
2025-09-15,26.84
2025-09-16,26.38
2025-09-17,25.83
2025-09-18,27.01
2025-09-19,26.19
2025-09-22,26.87
2025-09-23,26.29
2025-09-24,26.36
2025-09-25,25.07
2025-09-26,24.02
2025-09-29,23.0
2025-09-30,21.3
2025-10-01,28.07
2025-10-02,29.98
2025-10-03,29.28
2025-10-06,29.06
2025-10-07,28.46
2025-10-08,28.01
2025-10-09,27.94
2025-10-10,25.28
2025-10-13,25.83
2025-10-14,25.33
2025-10-15,26.27
2025-10-16,26.87
2025-10-17,25.98
2025-10-20,25.59
2025-10-21,24.65
2025-10-22,23.6
2025-10-23,23.94
2025-10-24,24.82
2025-10-27,26.03
2025-10-28,25.18
2025-10-29,24.39
2025-10-30,25.18
2025-10-31,28.58
2025-11-03,27.85
2025-11-04,25.15
2025-11-05,25.21
2025-11-06,25.2
2025-11-07,25.05
2025-11-10,24.64
2025-11-11,24.06
2025-11-12,23.87
2025-11-13,22.83
2025-11-14,22.25
2025-11-17,22.22
2025-11-18,21.64
2025-11-19,21.85
2025-11-20,21.51
2025-11-21,20.82
2025-11-24,21.28
2025-11-25,21.2
2025-11-26,21.71
2025-11-28,22.51
2025-12-01,22.75
2025-12-02,23.35
2025-12-03,24.49
2025-12-04,26.44
2025-12-05,26.29
