date,price
2026-03-06,21.0
2026-03-09,22.02
2026-03-10,22.52
2026-03-11,23.21
2026-03-12,23.18
2026-03-13,22.75
2026-03-16,22.5
2026-03-17,23.14
2026-03-18,23.3
2026-03-19,23.85
2026-03-20,23.57
2026-03-23,25.02
2026-03-24,25.1
2026-03-25,28.99
2026-03-26,32.18
2026-03-27,28.61
2026-03-30,25.85
2026-03-31,26.54
2026-04-01,28.64
2026-04-02,27.25
2026-04-06,26.26
2026-04-07,25.62
2026-04-08,25.71
2026-04-09,25.71
2026-04-10,25.45
2026-04-13,25.2
2026-04-14,24.9
2026-04-15,25.55
2026-04-16,24.94
2026-04-17,25.15
2026-04-20,24.65
2026-04-21,24.43
2026-04-22,29.65
2026-04-23,28.16
2026-04-24,30.5
2026-04-27,35.7
2026-04-28,31.35
2026-04-29,31.85
2026-04-30,32.1
2026-05-01,32.5
2026-05-04,33.25
2026-05-05,31.75
2026-05-06,32.0
2026-05-07,34.25
2026-05-08,39.13
2026-05-11,43.69
2026-05-12,53.49
2026-05-13,73.71
2026-05-14,57.27
2026-05-15,54.05
2026-05-18,45.44
2026-05-19,50.76
2026-05-20,58.49
2026-05-21,61.5
2026-05-22,56.37
2026-05-26,57.5
2026-05-27,50.01
2026-05-28,50.0
2026-05-29,49.51
2026-06-01,50.65
2026-06-02,46.0
2026-06-03,43.17
2026-06-04,41.99
2026-06-05,37.4
2026-06-08,38.67
2026-06-09,38.11
2026-06-10,37.6
2026-06-11,36.35
2026-06-12,35.25
2026-06-15,39.2263
