ticker,name,shares,value_usd,pct_of_net,pct_of_gross
SPCX,"Space Exploration Technologies Corp",36938300.00,6311277938.00,34.963396,32.683336
TSLA,"Tesla Inc",6455000.00,2714973000.00,15.040484,14.059653
H,"Hyatt Hotels Corp",4001647.00,775679254.48,4.297130,4.016902
SCHW,"Charles Schwab Corp/The",8331722.00,768767988.94,4.258843,3.981112
MSCI,"MSCI Inc",1348361.00,755136094.44,4.183324,3.910518
SHOP,"Shopify Inc",6255641.00,714269089.38,3.956928,3.698886
ACGL,"Arch Capital Group Ltd",6492000.00,630113520.00,3.490721,3.263081
SPOT,"Spotify Technology SA",1280900.00,588099617.00,3.257971,3.045510
FDS,"FactSet Research Systems Inc",2149040.00,494451123.20,2.739174,2.560545
IT,"Gartner Inc",3679506.00,476937567.72,2.642152,2.469850
IDXX,"IDEXX Laboratories Inc",846300.00,445526172.00,2.468138,2.307184
CSGP,"CoStar Group Inc",15703171.00,444713802.72,2.463638,2.302977
CHH,"Choice Hotels International Inc",3992835.00,440289915.45,2.439131,2.280068
VRSK,"Verisk Analytics Inc",2448139.00,439514394.67,2.434834,2.276052
MTN,"Vail Resorts Inc",3202597.00,436033581.55,2.415551,2.258026
GWRE,"Guidewire Software Inc",3512348.00,432194421.40,2.394283,2.238145
RRR,"Red Rock Resorts Inc",5624441.00,365926131.46,2.027168,1.894971
BIRK,"Birkenstock Holding Plc",8035219.00,345755473.57,1.915426,1.790516
KNSL,"Kinsale Capital Group Inc",1003991.00,331126271.71,1.834383,1.714758
ONON,"On Holding AG",8871696.00,314235472.32,1.740811,1.627287
MORN,"Morningstar Inc",1892591.00,295282047.82,1.635812,1.529136
AMZN,"Amazon.com Inc",638434.00,152164359.56,0.842964,0.787992
MRNA,"Moderna Inc",1989386.00,139316701.58,0.771791,0.721460
GOOGL,"Alphabet Inc",277983.00,98219733.39,0.544120,0.508637
FIG,"Figma Inc",5094019.00,92150803.71,0.510500,0.477209
GLPI,"Gaming and Leisure Properties Inc",1775000.00,79040750.00,0.437872,0.409317
HEI,"HEICO Corp",176625.00,62912058.75,0.348522,0.325794
LLY,"Eli Lilly &amp; Co",50500.00,60571215.00,0.335554,0.313672
HEI-A,"HEICO Corp",116875.00,30143231.25,0.166988,0.156099
GOOG,"Alphabet Inc",53447.00,19100354.39,0.105813,0.098912
CASH_MMF,"State Street Global Advisors",39010352.50,39010352.50,0.216111,0.202017
# netAssets,18051101044.45
# totAssets,19310384688.03
# totLiabs,1259283643.58
# leverage_gross_over_net,1.069762
