month,sales_usd,redemption_usd,reinvestment_usd,net_flow_usd,quarter_end_net_assets_usd,quarter_end_total_assets_usd,report_date,accession
2019-07,29693265.34,47297013.04,0.0,-17603747.7,,,2019-09-30,0001752724-19-179739
2019-08,43768455.86,25786235.74,0.0,17982220.12,,,2019-09-30,0001752724-19-179739
2019-09,18423222.03,24778932.62,6736148.42,-6355710.59,2345420318.98,3037739366.76,2019-09-30,0001752724-19-179739
2019-10,15929118.8,36099315.19,3.88,-20170196.389999997,,,2019-12-31,0001752724-20-039670
2019-11,23863027.82,26678834.02,0.0,-2815806.1999999993,,,2019-12-31,0001752724-20-039670
2019-12,24222243.82,29348788.59,0.0,-5126544.77,2727726587.55,3470175311.79,2019-12-31,0001752724-20-039670
2020-01,72336338.79,46011556.08,0.0,26324782.71000001,,,2020-03-31,0001752724-20-098806
2020-02,106738750.57,71128620.06,0.0,35610130.50999999,,,2020-03-31,0001752724-20-098806
2020-03,132127229.96,112950777.73,0.0,19176452.22999999,2220930795.4,2847284338.02,2020-03-31,0001752724-20-098806
2020-04,66973973.46,49629175.68,0.0,17344797.78,,,2020-06-30,0001752724-20-174085
2020-05,57428568.0,72438823.58,0.0,-15010255.579999998,,,2020-06-30,0001752724-20-174085
2020-06,66429708.02,87569781.6,0.0,-21140073.57999999,3303466967.44,4041346299.71,2020-06-30,0001752724-20-174085
2020-07,74173548.4,85316043.45,0.0,-11142495.049999997,,,2020-09-30,0001752724-20-246748
2020-08,105303931.45,96863109.26,0.0,8440822.189999998,,,2020-09-30,0001752724-20-246748
2020-09,115101989.24,172631581.26,36681925.96,-57529592.019999996,4796329635.02,5504545258.65,2020-09-30,0001752724-20-246748
2020-10,159441592.5,170678460.51,49.01,-11236868.00999999,,,2020-12-31,0001752724-21-043115
2020-11,107789130.29,108610570.23,189395844.5,-821439.9399999976,,,2020-12-31,0001752724-21-043115
2020-12,189946988.26,142324024.99,0.0,47622963.26999998,6869810632.76,7249722553.8,2020-12-31,0001752724-21-043115
2021-01,264012196.87,290854072.97,0.0,-26841876.100000024,,,2021-03-31,0001752724-21-116720
2021-02,167104334.42,204554902.85,0.0,-37450568.43000001,,,2021-03-31,0001752724-21-116720
2021-03,121792252.11,185318773.65,0.0,-63526521.54000001,6715300575.85,6941114450.14,2021-03-31,0001752724-21-116720
2021-04,116940113.91,92154199.08,0.0,24785914.83,,,2021-06-30,0001752724-21-187166
2021-05,79891142.28,190644835.22,0.0,-110753692.94,,,2021-06-30,0001752724-21-187166
2021-06,71389387.21,119061569.05,0.0,-47672181.84,6893701636.12,7461808922.09,2021-06-30,0001752724-21-187166
2021-07,87052051.43,117850650.36,0.0,-30798598.929999992,,,2021-09-30,0001752724-21-261169
2021-08,64847840.58,99772838.08,0.0,-34924997.5,,,2021-09-30,0001752724-21-261169
2021-09,86364343.93,126735723.04,300581454.13,-40371379.11,7145678950.07,8011870528.8,2021-09-30,0001752724-21-261169
2021-10,223395522.47,162127770.76,0.0,61267751.71000001,,,2021-12-31,0001752724-22-053829
2021-11,227061707.51,147599220.82,282428099.99,79462486.69,,,2021-12-31,0001752724-22-053829
2021-12,135468984.21,139175714.93,331.17,-3706730.719999999,8656460673.52,9229900187.94,2021-12-31,0001752724-22-053829
2022-01,147601958.25,176053930.76,0.0,-28451972.50999999,,,2022-03-31,0001752724-22-129639
2022-02,82641002.69,127618469.27,0.0,-44977466.58,,,2022-03-31,0001752724-22-129639
2022-03,108862456.18,127803561.24,0.0,-18941105.059999987,8039216163.74,8942980147.13,2022-03-31,0001752724-22-129639
2022-04,100215696.56,85231333.53,0.0,14984363.030000001,,,2022-06-30,0001752724-22-196693
2022-05,92857918.34,127176109.79,0.0,-34318191.45,,,2022-06-30,0001752724-22-196693
2022-06,70755017.55,99377918.62,0.0,-28622901.070000008,5529982561.64,6521041658.03,2022-06-30,0001752724-22-196693
2022-07,59839211.37,72447056.02,0.0,-12607844.649999999,,,2022-09-30,0001752724-22-266434
2022-08,206227514.24,70744903.58,0.0,135482610.66000003,,,2022-09-30,0001752724-22-266434
2022-09,78642092.92,84746117.4,142353391.84,-6104024.480000004,6172099817.14,7154440734.66,2022-09-30,0001752724-22-266434
2022-10,79688295.01,72228173.88,0.0,7460121.13000001,,,2022-12-31,0001752724-23-049938
2022-11,57713392.95,83269139.13,0.0,-25555746.179999992,,,2022-12-31,0001752724-23-049938
2022-12,75443919.57,173752812.26,0.0,-98308892.69,4827608003.35,5827078873.68,2022-12-31,0001752724-23-049938
2023-01,79952931.37,119501648.5,0.0,-39548717.129999995,,,2023-03-31,0001752724-23-116393
2023-02,107614830.59,58207887.15,0.0,49406943.440000005,,,2023-03-31,0001752724-23-116393
2023-03,72398648.54,71831899.06,0.0,566749.4800000042,5956197518.2,6952982406.55,2023-03-31,0001752724-23-116393
2023-04,73285666.43,70416802.99,0.0,2868863.4400000125,,,2023-06-30,0001752724-23-195354
2023-05,70544910.4,86752718.83,0.0,-16207808.429999992,,,2023-06-30,0001752724-23-195354
2023-06,124714486.34,75422663.51,0.0,49291822.83,6916831126.86,7863887502.12,2023-06-30,0001752724-23-195354
2023-07,114922234.81,69310587.55,0.0,45611647.260000005,,,2023-09-30,0001752724-23-273765
2023-08,84244576.69,98672126.84,0.0,-14427550.150000006,,,2023-09-30,0001752724-23-273765
2023-09,79191467.1,59791605.67,0.0,19399861.429999992,6463377654.6,7411343162.43,2023-09-30,0001752724-23-273765
2023-10,71848750.92,89577277.23,0.0,-17728526.310000002,,,2023-12-31,0001752724-24-044874
2023-11,92902831.36,91404821.85,0.0,1498009.5100000054,,,2023-12-31,0001752724-24-044874
2023-12,82730906.62,120730309.96,0.0,-37999403.33999999,6947179357.21,8000582433.56,2023-12-31,0001752724-24-044874
2024-01,78265785.78,157851056.46,0.0,-79585270.68,,,2024-03-31,0001752724-24-124763
2024-02,67138223.0,143883611.76,0.0,-76745388.75999999,,,2024-03-31,0001752724-24-124763
2024-03,49269490.54,161814191.71,0.0,-112544701.17000002,6051534185.23,7057578910.22,2024-03-31,0001752724-24-124763
2024-04,67424042.72,163960759.37,0.0,-96536716.65,,,2024-06-30,0001752724-24-195345
2024-05,50481351.24,109426131.91,0.0,-58944780.669999994,,,2024-06-30,0001752724-24-195345
2024-06,45742433.2,122430109.42,0.0,-76687676.22,5865701795.51,6860265000.01,2024-06-30,0001752724-24-195345
2024-07,50651259.02,118948891.02,0.0,-68297632.0,,,2024-09-30,0001752724-24-274713
2024-08,37442130.32,114432862.74,0.0,-76990732.41999999,,,2024-09-30,0001752724-24-274713
2024-09,45655225.48,87970148.75,0.0,-42314923.27,6478659615.52,7463119427.7,2024-09-30,0001752724-24-274713
2024-10,38642352.42,97391313.29,0.0,-58748960.870000005,,,2024-12-31,0001752724-25-048414
2024-11,101184626.69,111217969.44,0.0,-10033342.75,,,2024-12-31,0001752724-25-048414
2024-12,112910254.16,167918398.22,55924231.61,-55008144.06,8084224445.56,9090121453.01,2024-12-31,0001752724-25-048414
2025-01,85172353.75,132826435.36,118.64,-47654081.61,,,2025-03-31,0001752724-25-120058
2025-02,75674096.89,124169513.52,0.0,-48495416.629999995,,,2025-03-31,0001752724-25-120058
2025-03,92012113.7,123210867.5,0.0,-31198753.799999997,6564166682.72,7562348533.37,2025-03-31,0001752724-25-120058
2025-04,102759887.13,101445138.2,0.0,1314748.9299999923,,,2025-06-30,0001752724-25-209293
2025-05,81193881.95,111989714.83,0.0,-30795832.879999995,,,2025-06-30,0001752724-25-209293
2025-06,448754506.57,454969849.9,0.0,-6215343.329999983,7317286853.81,7957212460.61,2025-06-30,0001752724-25-209293
2025-07,73780041.52,105798985.09,0.0,-32018943.570000008,,,2025-09-30,0001410368-25-032575
2025-08,55274019.83,96557762.84,0.0,-41283743.010000005,,,2025-09-30,0001410368-25-032575
2025-09,540162115.23,592330697.53,145866879.81,-52168582.29999995,8128207596.46,8724035784.75,2025-09-30,0001410368-25-032575
2025-10,66419301.5,104895290.82,0.0,-38475989.31999999,,,2025-12-31,0001410368-26-021327
2025-11,63260687.32,76718672.86,0.0,-13457985.54,,,2025-12-31,0001410368-26-021327
2025-12,267782348.86,187328687.63,142286449.48,80453661.23000002,9682175911.02,10889863900.63,2025-12-31,0001410368-26-021327
2026-01,443799851.16,115186212.91,643.61,328613638.25,,,2026-03-31,0001410368-26-049926
2026-02,490018291.52,95695399.98,0.0,394322891.53999996,,,2026-03-31,0001410368-26-049926
2026-03,626364939.45,109970386.54,0.0,516394552.91,10360633779.17,11767988975.6,2026-03-31,0001410368-26-049926
