component,shares_per_bptix,shares_for_130000,value_per_bptix_usd,pct_of_nav,price_2026_07_06
SPCX (SpaceX),0.600000,78000.00,96.2520,32.623,160.42
TSLA,0.104184,13543.93,43.7334,14.823,419.77
MSCI,0.023264,3024.29,14.2849,4.842,614.04
H,0.067555,8782.09,13.0704,4.430,193.48
SCHW,0.117830,15317.87,11.8560,4.018,100.62
SHOP,0.096115,12494.97,11.5473,3.914,120.14
ACGL,0.104524,13588.15,10.6416,3.607,101.81
IT,0.074192,9644.99,10.0241,3.398,135.11
SPOT,0.020157,2620.39,9.7359,3.300,483.01
FDS,0.034931,4541.08,8.8097,2.986,252.20
GWRE,0.061934,8051.44,8.5215,2.888,137.59
CSGP,0.275401,35802.18,7.9040,2.679,28.70
IDXX,0.013443,1747.65,7.5953,2.574,564.98
CHH,0.062131,8076.98,6.6896,2.267,107.67
BIRK,0.131545,17100.80,6.0721,2.058,46.16
ONON,0.164689,21409.62,6.0721,2.058,36.87
VRSK,0.030800,4004.00,5.7839,1.960,187.79
KNSL,0.012271,1595.19,4.2608,1.444,347.23
MTN,0.026794,3483.19,3.8079,1.291,142.12
RRR,0.058547,7611.17,3.8079,1.291,65.04
FIG,0.086903,11297.43,1.8319,0.621,21.08
GLPI,0.034983,4547.82,1.5232,0.516,43.54
HEI,0.001690,219.75,0.6175,0.209,365.31
HEI-A,0.002351,305.66,0.6175,0.209,262.63
CASH,,0,0.0000,0.000,
