component,shares_per_bptix,shares_for_130000,value_per_bptix_usd,pct_of_nav,price_2026_07_08
SPCX (SpaceX),0.600000,78000,88.9800,31.401,148.30
TSLA,0.112894,14676.22,44.4870,15.699,394.06
SCHW,0.124095,16132.31,12.6204,4.454,101.70
H,0.067345,8754.83,12.6204,4.454,187.40
MSCI,0.020365,2647.40,12.3049,4.342,604.23
SHOP,0.097919,12729.46,11.6739,4.120,119.22
ACGL,0.102067,13268.71,10.4119,3.674,102.01
SPOT,0.020158,2620.48,9.7808,3.452,485.22
FDS,0.033102,4303.23,8.2033,2.895,247.82
IT,0.058567,7613.68,7.8878,2.784,134.68
MTN,0.050524,6568.11,7.2567,2.561,143.63
VRSK,0.038260,4973.78,7.2567,2.561,189.67
IDXX,0.013059,1697.73,7.2567,2.561,555.67
CHH,0.068209,8867.16,7.2567,2.561,106.39
CSGP,0.247333,32153.28,7.2567,2.561,29.34
GWRE,0.051136,6647.71,6.9412,2.450,135.74
RRR,0.094673,12307.51,5.9947,2.116,63.32
BIRK,0.128372,16688.41,5.6792,2.004,44.24
KNSL,0.015504,2015.49,5.3637,1.893,345.96
ONON,0.138762,18039.10,5.0482,1.781,36.38
MORN,0.028678,3728.09,4.7327,1.670,165.03
AMZN,0.010361,1346.90,2.5241,0.891,243.62
MRNA,0.029926,3890.44,2.2086,0.779,73.80
GLPI,0.029411,3823.48,1.2620,0.445,42.91
GOOG,0.003518,457.38,1.2620,0.445,358.71
FIG,0.058239,7571.09,1.2620,0.445,21.67
LLY,0.000779,101.21,0.9465,0.334,1215.83
HEI,0.002722,353.81,0.9465,0.334,347.78
HEI-A,0.002514,326.78,0.6310,0.223,251.03
GOOGL,0.000872,113.33,0.3155,0.111,361.92
CASH (borrow),,-2210286,-17.0022,-6.000,
