component,shares_per_bptix,shares_for_30000,value_per_bptix_6_30,pct_of_nav,price_2026_06_30
SPCX (SpaceX),0.597124,17913.72,102.0246,34.868,170.86
TSLA,0.105017,3150.51,44.1703,15.096,420.60
SCHW,0.135803,4074.09,12.5306,4.282,92.27
H,0.064644,1939.32,12.5306,4.282,193.84
MSCI,0.021815,654.45,12.2173,4.175,560.04
SHOP,0.101513,3045.39,11.5908,3.961,114.18
ACGL,0.106509,3195.27,10.3377,3.533,97.06
SPOT,0.021151,634.53,9.7112,3.319,459.13
FDS,0.035400,1062.0,8.1449,2.784,230.08
IT,0.060420,1812.6,7.8316,2.677,129.62
MTN,0.052920,1587.6,7.2051,2.462,136.15
VRSK,0.040133,1203.99,7.2051,2.462,179.53
IDXX,0.013686,410.58,7.2051,2.462,526.44
CHH,0.065340,1960.2,7.2051,2.462,110.27
CSGP,0.254417,7632.51,7.2051,2.462,28.32
GWRE,0.056008,1680.24,6.8918,2.355,123.05
RRR,0.091485,2744.55,5.9520,2.034,65.06
BIRK,0.131042,3931.26,5.6388,1.927,43.03
KNSL,0.016147,484.41,5.3255,1.820,329.81
ONON,0.141508,4245.24,5.0122,1.713,35.42
MORN,0.030118,903.54,4.6990,1.606,156.02
AMZN,0.010515,315.45,2.5061,0.856,238.34
MRNA,0.031313,939.39,2.1928,0.749,70.03
GLPI,0.028140,844.2,1.2531,0.428,44.53
GOOG,0.003546,106.38,1.2531,0.428,353.33
FIG,0.069268,2078.04,1.2531,0.428,18.09
LLY,0.000784,23.52,0.9398,0.321,1199.43
HEI,0.002638,79.14,0.9398,0.321,356.19
HEI-A,0.002429,72.87,0.6265,0.214,257.91
GOOGL,0.000877,26.31,0.3133,0.107,357.37
CASH (borrow),,,-19.3116,-6.600,
