component,shares_per_bptix,shares_for_130000,value_per_bptix_7_31,pct_of_nav,pct_of_gross,price_2026_07_31,source
SPCX (SpaceX),0.631306,82069.82,68.4147,27.231,24.755,108.37,disclosed 36.94M sh / 58.51M shares-out
TSLA,0.110116,14315.05,34.2691,13.64,12.4,311.21,disclosed 7/31 wt
SCHW,0.13918,18093.39,14.6473,5.83,5.3,105.24,disclosed 7/31 wt
MSCI,0.022699,2950.83,12.9891,5.17,4.7,572.24,disclosed 7/31 wt
SHOP,0.103799,13493.83,12.16,4.84,4.4,117.15,disclosed 7/31 wt
H,0.068273,8875.53,11.8837,4.73,4.3,174.06,disclosed 7/31 wt
ACGL,0.109963,14295.16,11.0546,4.4,4.0,100.53,disclosed 7/31 wt
SPOT,0.021559,2802.67,10.7782,4.29,3.9,499.94,disclosed 7/31 wt
FDS,0.038851,5050.57,10.2255,4.07,3.7,263.2,disclosed 7/31 wt
GWRE,0.058205,7566.63,8.8436,3.52,3.2,151.94,disclosed 7/31 wt
IT,0.056768,7379.85,8.5731,3.412,3.102,151.02,"6/30 SHARES x 0.9396 (buy-and-hold, uniform fit)"
MTN,0.049721,6463.78,7.4274,2.956,2.688,149.38,"6/30 SHARES x 0.9396 (buy-and-hold, uniform fit)"
VRSK,0.037707,4901.95,7.3473,2.924,2.659,194.85,"6/30 SHARES x 0.9396 (buy-and-hold, uniform fit)"
IDXX,0.012859,1671.64,7.189,2.861,2.601,559.07,"6/30 SHARES x 0.9396 (buy-and-hold, uniform fit)"
CSGP,0.23904,31075.14,6.8748,2.736,2.488,28.76,"6/30 SHARES x 0.9396 (buy-and-hold, uniform fit)"
CHH,0.061391,7980.79,6.8445,2.724,2.477,111.49,"6/30 SHARES x 0.9396 (buy-and-hold, uniform fit)"
RRR,0.085955,11174.21,5.539,2.205,2.004,64.44,"6/30 SHARES x 0.9396 (buy-and-hold, uniform fit)"
MORN,0.028298,3678.69,5.4493,2.169,1.972,192.57,"6/30 SHARES x 0.9396 (buy-and-hold, uniform fit)"
KNSL,0.015171,1972.24,5.4073,2.152,1.957,356.42,"6/30 SHARES x 0.9396 (buy-and-hold, uniform fit)"
ONON,0.132955,17284.15,4.8183,1.918,1.743,36.24,"6/30 SHARES x 0.9396 (buy-and-hold, uniform fit)"
BIRK,0.123122,16005.81,4.7673,1.897,1.725,38.72,"6/30 SHARES x 0.9396 (buy-and-hold, uniform fit)"
AMZN,0.009879,1284.33,2.6831,1.068,0.971,271.58,"6/30 SHARES x 0.9396 (buy-and-hold, uniform fit)"
MRNA,0.02942,3824.65,1.6128,0.642,0.584,54.82,"6/30 SHARES x 0.9396 (buy-and-hold, uniform fit)"
FIG,0.065081,8460.57,1.5828,0.63,0.573,24.32,"6/30 SHARES x 0.9396 (buy-and-hold, uniform fit)"
GOOG,0.003332,433.12,1.1882,0.473,0.43,356.65,"6/30 SHARES x 0.9396 (buy-and-hold, uniform fit)"
GLPI,0.026439,3437.09,1.1842,0.471,0.428,44.79,"6/30 SHARES x 0.9396 (buy-and-hold, uniform fit)"
HEI,0.002479,322.21,0.8833,0.352,0.32,356.36,"6/30 SHARES x 0.9396 (buy-and-hold, uniform fit)"
LLY,0.000737,95.76,0.8463,0.337,0.306,1148.84,"6/30 SHARES x 0.9396 (buy-and-hold, uniform fit)"
HEI-A,0.002282,296.68,0.5872,0.234,0.212,257.28,"6/30 SHARES x 0.9396 (buy-and-hold, uniform fit)"
GOOGL,0.000824,107.12,0.2934,0.117,0.106,356.13,"6/30 SHARES x 0.9396 (buy-and-hold, uniform fit)"
CASH (borrow),,-3266120.0,-25.124,-10.0,-9.091,,L=1.10 -> cash -10% of net
