component,shares_per_bptix,shares_for_30000,value_per_bptix_8_31,pct_of_nav,pct_of_gross,price_2026_08_31,source
SPCX (SpaceX),0.652801,19584.02,93.8009,32.168,29.458,143.69,"filed 36,938,300 sh / 56.5844M shares-out (cross-checks to the disclosed 29.4% of gross)"
TSLA,0.114234,3427.02,42.0324,14.414,13.200,367.95,"disclosed 8/31 wt"
SHOP,0.105876,3176.28,15.6029,5.351,4.900,147.37,"disclosed 8/31 wt"
SCHW,0.139178,4175.33,15.2845,5.242,4.800,109.82,"disclosed 8/31 wt"
MSCI,0.023437,703.10,13.3739,4.586,4.200,570.64,"disclosed 8/31 wt"
GWRE,0.059098,1772.93,12.1002,4.150,3.800,204.75,"disclosed 8/31 wt"
SPOT,0.022259,667.76,12.1002,4.150,3.800,543.62,"disclosed 8/31 wt"
FDS,0.038591,1157.73,12.1002,4.150,3.800,313.55,"disclosed 8/31 wt"
H,0.070562,2116.87,11.7818,4.040,3.700,166.97,"disclosed 8/31 wt"
ACGL,0.110396,3311.88,10.8265,3.713,3.400,98.07,"disclosed 8/31 wt"
IT,0.053868,1616.04,10.6718,3.660,3.351,198.11,"v4.2 SHARES x 0.94508 (buy-and-hold, uniform fit)"
CSGP,0.226827,6804.82,7.2744,2.495,2.284,32.07,"v4.2 SHARES x 0.94508 (buy-and-hold, uniform fit)"
VRSK,0.035781,1073.43,6.9336,2.378,2.177,193.78,"v4.2 SHARES x 0.94508 (buy-and-hold, uniform fit)"
IDXX,0.012202,366.06,6.7927,2.329,2.133,556.69,"v4.2 SHARES x 0.94508 (buy-and-hold, uniform fit)"
MTN,0.047180,1415.41,6.4595,2.215,2.029,136.91,"v4.2 SHARES x 0.94508 (buy-and-hold, uniform fit)"
CHH,0.058255,1747.65,6.0212,2.065,1.891,103.36,"v4.2 SHARES x 0.94508 (buy-and-hold, uniform fit)"
MORN,0.026853,805.58,5.8791,2.016,1.846,218.94,"v4.2 SHARES x 0.94508 (buy-and-hold, uniform fit)"
KNSL,0.014396,431.87,5.3825,1.846,1.690,373.90,"v4.2 SHARES x 0.94508 (buy-and-hold, uniform fit)"
RRR,0.081563,2446.90,4.5806,1.571,1.439,56.16,"v4.2 SHARES x 0.94508 (buy-and-hold, uniform fit)"
BIRK,0.116831,3504.93,4.0786,1.399,1.281,34.91,"v4.2 SHARES x 0.94508 (buy-and-hold, uniform fit)"
ONON,0.126162,3784.86,3.5956,1.233,1.129,28.50,"v4.2 SHARES x 0.94508 (buy-and-hold, uniform fit)"
MRNA,0.022257,667.70,3.1235,1.071,0.981,140.34,"v4.2 SHARES x 0.94508 (buy-and-hold, uniform fit)"
AMZN,0.009374,281.23,2.4352,0.835,0.765,259.77,"v4.2 SHARES x 0.94508 (buy-and-hold, uniform fit)"
FIG,0.061756,1852.67,1.6977,0.582,0.533,27.49,"v4.2 SHARES x 0.94508 (buy-and-hold, uniform fit)"
GOOG,0.003161,94.84,1.0603,0.364,0.333,335.41,"v4.2 SHARES x 0.94508 (buy-and-hold, uniform fit)"
GLPI,0.025088,752.65,1.0555,0.362,0.331,42.07,"v4.2 SHARES x 0.94508 (buy-and-hold, uniform fit)"
LLY,0.000699,20.98,0.8090,0.277,0.254,1156.73,"v4.2 SHARES x 0.94508 (buy-and-hold, uniform fit)"
HEI,0.002352,70.57,0.7790,0.267,0.245,331.15,"v4.2 SHARES x 0.94508 (buy-and-hold, uniform fit)"
HEI-A,0.002165,64.96,0.5287,0.181,0.166,244.17,"v4.2 SHARES x 0.94508 (buy-and-hold, uniform fit)"
GOOGL,0.000782,23.45,0.2652,0.091,0.083,339.35,"v4.2 SHARES x 0.94508 (buy-and-hold, uniform fit)"
CASH (borrow),,,-26.827,-9.2,-8.425,,"L=1.092 -> cash -9.2% of net"
