report_date,filing_date,accession,series_id,series_name,reg_cik,net_assets_usd,total_assets_usd,spacex_value_usd,spacex_balance_units,spacex_pct_of_net_assets,spacex_n_tranches,spacex_liquidity_buckets,source,confidence
2019-09-30,2019-11-26,0001752724-19-179739,S000000588,Baron Partners Fund,1217673,2345420318.98,3037739366.76,148086037.8,694620.0,6.313838,4,,measured,high
2019-12-31,2020-02-27,0001752724-20-039670,S000000588,Baron Partners Fund,1217673,2727726587.55,3470175311.79,140535518.4,694620.0,5.152112,4,,measured,high
2020-03-31,2020-05-21,0001752724-20-098806,S000000588,Baron Partners Fund,1217673,2220930795.4,2847284338.02,161124055.2,694620.0,7.254799,4,,measured,high
2020-06-30,2020-08-26,0001752724-20-174085,S000000588,Baron Partners Fund,1217673,3303466967.44,4041346299.71,159067980.0,694620.0,4.815183,4,,measured,high
2020-09-30,2020-11-25,0001752724-20-246748,S000000588,Baron Partners Fund,1217673,4796329635.02,5504545258.65,194608208.43,805731.0,4.05744,5,,measured,high
2020-12-31,2021-02-26,0001752724-21-043115,S000000588,Baron Partners Fund,1217673,6869810632.76,7249722553.8,220544689.32,805731.0,3.210346,5,,measured,high
2021-03-31,2021-05-27,0001752724-21-116720,S000000588,Baron Partners Fund,1217673,6715300575.85,6941114450.14,338398962.69,805731.0,5.039223,5,,measured,high
2021-06-30,2021-08-26,0001752724-21-187166,S000000588,Baron Partners Fund,1217673,6893701636.12,7461808922.09,320898485.37,805731.0,4.654952,5,,measured,high
2021-09-30,2021-11-29,0001752724-21-261169,S000000588,Baron Partners Fund,1217673,7145678950.07,8011870528.8,334507281.96,805731.0,4.681253,5,,measured,high
2021-12-31,2022-03-01,0001752724-22-053829,S000000588,Baron Partners Fund,1217673,8656460673.52,9229900187.94,447591627.81,805731.0,5.170608,5,,measured,high
2022-03-31,2022-05-31,0001752724-22-129639,S000000588,Baron Partners Fund,1217673,8039216163.74,8942980147.13,462575455.03,3072399.0,5.753987,5,,measured,high
2022-06-30,2022-08-26,0001752724-22-196693,S000000588,Baron Partners Fund,1217673,5529982561.64,6521041658.03,541708076.88,3072399.0,9.795837,5,,measured,high
2022-09-30,2022-11-25,0001752724-22-266434,S000000588,Baron Partners Fund,1217673,6172099817.14,7154440734.66,483538188.36,3072399.0,7.834257,5,,measured,high
2022-12-31,2023-03-01,0001752724-23-049938,S000000588,Baron Partners Fund,1217673,4827608003.35,5827078873.68,592719476.04,3072399.0,12.277705,5,,measured,high
2023-03-31,2023-05-25,0001752724-23-116393,S000000588,Baron Partners Fund,1217673,5956197518.2,6952982406.55,597131606.12,3072399.0,10.025383,5,,measured,high
2023-06-30,2023-08-28,0001752724-23-195354,S000000588,Baron Partners Fund,1217673,6916831126.86,7863887502.12,651433513.5,3072399.0,9.418092,5,,measured,high
2023-09-30,2023-11-29,0001752724-23-273765,S000000588,Baron Partners Fund,1217673,6463377654.6,7411343162.43,603395329.53,3072399.0,9.335604,5,,measured,high
2023-12-31,2024-02-28,0001752724-24-044874,S000000588,Baron Partners Fund,1217673,6947179357.21,8000582433.56,781559070.0,3072399.0,11.25002,5,,measured,high
2024-03-31,2024-05-29,0001752724-24-124763,S000000588,Baron Partners Fund,1217673,6051534185.23,7057578910.22,781559070.0,3072399.0,12.915057,5,,measured,high
2024-06-30,2024-08-27,0001752724-24-195345,S000000588,Baron Partners Fund,1217673,5865701795.51,6860265000.01,902418720.0,3072399.0,15.384668,5,,measured,high
2024-09-30,2024-11-27,0001752724-24-274713,S000000588,Baron Partners Fund,1217673,6478659615.52,7463119427.7,827417920.0,3005434.0,12.771437,5,,measured,high
2024-12-31,2025-02-28,0001752724-25-048414,S000000588,Baron Partners Fund,1217673,8084224445.56,9090121453.01,1366717100.0,3005434.0,16.905977,5,,measured,high
2025-03-31,2025-05-27,0001752724-25-120058,S000000588,Baron Partners Fund,1217673,6564166682.72,7562348533.37,1366717100.0,3005434.0,20.820877,5,,measured,high
2025-06-30,2025-08-27,0001752724-25-209293,S000000588,Baron Partners Fund,1217673,7317286853.81,7957212460.61,1366717100.0,3005434.0,18.677922,5,,measured,high
2025-09-30,2025-11-26,0001410368-25-032575,S000000588,Baron Partners Fund,1217673,8128207596.46,8724035784.75,1566183920.0,3005434.0,19.268503,5,,measured,high
2025-12-31,2026-03-02,0001410368-26-021327,S000000588,Baron Partners Fund,1217673,9682175911.02,10889863900.63,3110204860.0,3005434.0,32.122995,5,,measured,high
2026-03-31,2026-05-22,0001410368-26-049926,S000000588,Baron Partners Fund,1217673,10360633779.17,11767988975.6,3890267879.4,3005434.0,37.548551,5,,measured,high
