date,nav,nav_adj
2017-01-03,38.04,31.4175
2017-01-04,38.96,32.1774
2017-01-05,38.67,31.9379
2017-01-06,39.0,32.2104
2017-01-09,38.9,32.1278
2017-01-10,39.18,32.3591
2017-01-11,39.36,32.5077
2017-01-12,39.2,32.3756
2017-01-13,39.72,32.8051
2017-01-17,39.22,32.3921
2017-01-18,39.45,32.5821
2017-01-19,39.55,32.6647
2017-01-20,39.74,32.8216
2017-01-23,39.92,32.9702
2017-01-24,40.42,33.3832
2017-01-25,40.67,33.5897
2017-01-26,40.65,33.5732
2017-01-27,40.57,33.5071
2017-01-30,40.15,33.1602
2017-01-31,39.83,32.8959
2017-02-01,39.81,32.8794
2017-02-02,40.08,33.1024
2017-02-03,40.54,33.4823
2017-02-06,40.67,33.5897
2017-02-07,40.8,33.697
2017-02-08,40.74,33.6475
2017-02-09,41.24,34.0605
2017-02-10,41.34,34.143
2017-02-13,41.82,34.5395
2017-02-14,41.98,34.6716
2017-02-15,42.32,34.9524
2017-02-16,42.06,34.7377
2017-02-17,42.03,34.7129
2017-02-21,42.37,34.9937
2017-02-22,42.08,34.7542
2017-02-23,41.2,34.0274
2017-02-24,41.29,34.1017
2017-02-27,41.16,33.9944
2017-02-28,40.84,33.7301
2017-03-01,41.62,34.3743
2017-03-02,41.26,34.077
2017-03-03,41.32,34.1265
2017-03-06,41.07,33.92
2017-03-07,40.87,33.7549
2017-03-08,40.8,33.697
2017-03-09,40.71,33.6227
2017-03-10,41.02,33.8788
2017-03-13,41.29,34.1017
2017-03-14,41.46,34.2421
2017-03-15,41.82,34.5395
2017-03-16,42.16,34.8203
2017-03-17,42.16,34.8203
2017-03-20,42.14,34.8038
2017-03-21,40.95,33.8209
2017-03-22,41.18,34.0109
2017-03-23,41.24,34.0605
2017-03-24,41.44,34.2256
2017-03-27,41.66,34.4073
2017-03-28,41.91,34.6138
2017-03-29,42.09,34.7625
2017-03-30,42.19,34.8451
2017-03-31,42.28,34.9194
2017-04-03,42.68,35.2498
2017-04-04,42.84,35.3819
2017-04-05,42.36,34.9855
2017-04-06,42.61,35.1919
2017-04-07,42.57,35.1589
2017-04-10,42.87,35.4067
2017-04-11,42.86,35.3984
2017-04-12,42.24,34.8864
2017-04-13,42.14,34.8038
2017-04-17,42.61,35.1919
2017-04-18,42.66,35.2332
2017-04-19,43.14,35.6297
2017-04-20,43.43,35.8692
2017-04-21,43.39,35.8361
2017-04-24,43.84,36.2078
2017-04-25,44.22,36.5217
2017-04-26,44.65,36.8768
2017-04-27,45.28,37.3971
2017-04-28,45.44,37.5293
2017-05-01,45.87,37.8844
2017-05-02,45.78,37.8101
2017-05-03,45.41,37.5045
2017-05-04,45.28,37.3971
2017-05-05,46.16,38.1239
2017-05-08,45.9,37.9092
2017-05-09,46.42,38.3387
2017-05-10,46.48,38.3882
2017-05-11,46.41,38.3304
2017-05-12,46.27,38.2148
2017-05-15,46.38,38.3056
2017-05-16,46.4,38.3221
2017-05-17,45.11,37.2567
2017-05-18,45.46,37.5458
2017-05-19,45.64,37.6945
2017-05-22,46.02,38.0083
2017-05-23,45.96,37.9587
2017-05-24,46.34,38.2726
2017-05-25,46.72,38.5864
2017-05-26,46.98,38.8012
2017-05-30,47.19,38.9746
2017-05-31,47.62,39.3297
2017-06-01,48.1,39.7262
2017-06-02,48.18,39.7923
2017-06-05,48.16,39.7757
2017-06-06,47.95,39.6023
2017-06-07,48.14,39.7592
2017-06-08,48.55,40.0978
2017-06-09,47.54,39.2637
2017-06-12,47.48,39.2141
2017-06-13,48.36,39.9409
2017-06-14,48.68,40.2052
2017-06-15,48.41,39.9822
2017-06-16,48.54,40.0896
2017-06-19,49.0,40.4695
2017-06-20,48.81,40.3126
2017-06-21,48.87,40.3621
2017-06-22,49.12,40.5686
2017-06-23,49.58,40.9485
2017-06-26,49.31,40.7255
2017-06-27,48.48,40.04
2017-06-28,49.16,40.6016
2017-06-29,48.33,39.9161
2017-06-30,48.49,40.0483
2017-07-03,48.22,39.8253
2017-07-05,47.69,39.3876
2017-07-06,46.65,38.5286
2017-07-07,47.17,38.9581
2017-07-10,47.39,39.1398
2017-07-11,47.68,39.3793
2017-07-12,47.75,39.4371
2017-07-13,47.56,39.2802
2017-07-14,47.83,39.5032
2017-07-17,47.69,39.3876
2017-07-18,48.0,39.6436
2017-07-19,48.27,39.8666
2017-07-20,48.32,39.9079
2017-07-21,48.32,39.9079
2017-07-24,48.8,40.3043
2017-07-25,48.91,40.3952
2017-07-26,48.96,40.4365
2017-07-27,48.09,39.7179
2017-07-28,48.29,39.8831
2017-07-31,48.14,39.7592
2017-08-01,47.78,39.4619
2017-08-02,47.76,39.4454
2017-08-03,48.73,40.2465
2017-08-04,49.05,40.5108
2017-08-07,49.24,40.6677
2017-08-08,49.27,40.6925
2017-08-09,48.68,40.2052
2017-08-10,47.72,39.4123
2017-08-11,47.87,39.5362
2017-08-14,48.64,40.1722
2017-08-15,48.32,39.9079
2017-08-16,48.56,40.1061
2017-08-17,47.68,39.3793
2017-08-18,47.25,39.0242
2017-08-21,46.89,38.7268
2017-08-22,47.49,39.2224
2017-08-23,47.78,39.4619
2017-08-24,47.71,39.4041
2017-08-25,47.66,39.3628
