date,whole_company_valuation_usd,per_share_usd,split_adjusted,basis,source_desc,source_url,confidence,notes
2017-01-01,20000000000,,no,verified_news,"Baron initiated ~4% SpaceX position in 2017 at ~$20B valuation (Morningstar; corroborated by CNBC 2025-12-15 'Baron began investing in 2017')",https://www.morningstar.com/funds/barons-big-bet-spacex,low,"Value corroborated by multiple outlets; exact DATE is year-level only (placed at 2017-01-01). The ~4% initiation weight drives only the shaded low-confidence pre-2019 strip."
2021-02-18,74000000000,,no,verified_news,"Series J, $1.16B raised, led by Sequoia Capital; valuation ~$74B",https://www.bloomberg.com/news/articles/2021-02-18/spacex-funding-round-at-74-billion-valuation-was-led-by-sequoia,high,"Bloomberg primary report, dated."
2022-12-13,140000000000,77.00,no,verified_news,"Dec-2022 tender offer valued SpaceX at ~$140B at $77.00/share",https://www.bloomberg.com/news/articles/2022-12-13/spacex-tender-offer-is-said-to-value-company-at-140-billion-lblj2e1f,high,"Bloomberg primary report. (Mid-2022 secondary level was ~$125-127B per secondary sources; the dated, hard-sourced mark is this Dec tender.)"
2023-06-23,150000000000,81.00,no,verified_news,"Jun-2023 tender valued SpaceX at ~$150B, shares offered at >$80",https://phys.org/news/2023-06-spacex-tender-values-150bn.html,high,"Bloomberg via Reuters / phys.org. Jan-2023 round was ~$137B (raised $750M) per secondary sources."
2023-12-06,175000000000,,no,verified_news,"Dec-2023 tender said to value SpaceX at ~$175B+",https://www.bloomberg.com/news/articles/2023-12-06/spacex-tender-offer-said-to-value-startup-at-175-billion-plus,high,"Bloomberg primary report; also Axios 2023-12-07."
2024-12-10,350000000000,185.00,no,verified_news,"Dec-2024 insider share sale valued SpaceX at ~$350B at $185.00/share (up from ~$112 ~3 months prior)",https://www.bloomberg.com/news/articles/2024-12-10/spacex-share-sale-is-said-to-value-company-at-about-350-billion,high,"Bloomberg + CNBC 2024-12-11. Cross-checks the NPORT mark: 2024-09->2024-12 SpaceX value x1.65 = $185/$112 x1.65."
2025-07-01,400000000000,212.00,no,verified_news,"Jul-2025 secondary at ~$400B at $212/share (per Bloomberg's Dec-2025 report referencing the July price)",https://www.bloomberg.com/news/articles/2025-12-13/spacex-sets-insider-share-deal-at-about-800-billion,high,"Per-share $212 / $400B stated in the Dec-2025 Bloomberg article. Date is the half-year tender (month-level)."
2025-12-13,800000000000,421.00,no,verified_news,"Dec-2025 secondary set a record ~$800B valuation at $421/share; $2.56B tender; SpaceX confirmed 2026 IPO plans",https://www.cnbc.com/2025/12/13/musk-spacex-insider-share-sale-sets-800-billion-valuation.html,high,"Bloomberg + CNBC + Fortune 2025-12-13. Cross-checks NPORT: 2025-09->2025-12 SpaceX value x1.98 = $421/$212 x1.99."
2026-02-02,1250000000000,526.59,no,verified_news,"SpaceX + xAI all-stock merger; combined entity $1.25T ($1.0T SpaceX + $0.25T xAI). $526.59/share PRE-split, confirmed by Baron's 2026-03-31 NPORT-P valUSD/balance ($421 x 1.25 = $526.59)",https://www.cnbc.com/2026/02/03/musk-xai-spacex-biggest-merger-ever.html,high,"CURRENT standing mark carried in NAV as of the user's 2026-05-20 entry."
2026-05-04,1250000000000,105.32,yes,verified_news,"SpaceX 5-for-1 stock split (shareholders approved ~2026-05-16, processed May 18-22). $526.59 -> ~$105.32/share. Whole-company valuation unchanged by a split.",https://www.bloomberg.com/news/articles/2026-05-16/spacex-shareholders-approve-5-for-1-split-of-common-stock,high,"Split changes per-share figures 5x but NOT the fund's SpaceX dollar value or weight."
2026-06-12,1750000000000,,yes,verified_news_scenario,"SpaceX S-1 (filed 2026-05-20) targets ~$1.75T at IPO; ticker SPCX on Nasdaq; pricing ~June 11, first trade ~June 12",https://www.cnbc.com/2026/05/20/spacex-ipo-live-updates.html,med,"FORWARD/SCENARIO mark — not yet realized. Base IPO re-rating scenario; alt $2.0T / $2.4T are user-adjustable hypotheticals."
