date,price
2026-03-19,76.16
2026-03-20,117.7
2026-03-23,191.81
2026-03-24,314.99
2026-03-25,380.0
2026-03-26,262.0
2026-03-27,173.0
2026-03-30,111.0
2026-03-31,130.95
2026-04-01,115.0
2026-04-02,113.0
2026-04-06,118.0
2026-04-07,113.71
2026-04-08,119.74
2026-04-09,115.0
2026-04-10,112.99
2026-04-13,114.05
2026-04-14,96.01
2026-04-15,91.49
2026-04-16,76.88
2026-04-17,84.47
2026-04-20,91.92
2026-04-21,89.0
2026-04-22,92.91
2026-04-23,89.74
2026-04-24,85.48
2026-04-27,85.0
2026-04-28,78.65
2026-04-29,85.01
2026-04-30,94.79
2026-05-01,94.55
2026-05-04,115.0
2026-05-05,137.79
2026-05-06,158.98
2026-05-07,144.14
2026-05-08,190.99
2026-05-11,276.0
2026-05-12,275.0
2026-05-13,246.01
2026-05-14,218.99
2026-05-15,196.99
2026-05-18,234.03
2026-05-19,230.81
2026-05-20,246.0
2026-05-21,289.51
2026-05-22,263.78
2026-05-26,252.07
2026-05-27,229.0
2026-05-28,219.59
2026-05-29,211.0
